title,author,genres,plot,vote_average,vote_count,release_date,large_cover_url
Apocalypse Z: The Beginning of the End,Carles Torrens,"Drama, Action, Horror","When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",6.834,721,2024-10-04,https://image.tmdb.org/t/p/original/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
Transformers One,Josh Cooley,"Animation, Science Fiction, Adventure, Family","The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",8.1,881,2024-09-11,https://image.tmdb.org/t/p/original/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg
Wicked,Jon M. Chu,"Drama, Romance, Fantasy","In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",7.6,571,2024-11-20,https://image.tmdb.org/t/p/original/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
Alien: Romulus,Fede Álvarez,"Horror, Science Fiction","While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.2,2684,2024-08-13,https://image.tmdb.org/t/p/original/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg
Sidelined: The QB and Me,Justin Wu,"Comedy, Romance, TV Movie","Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",6.5,70,2024-11-29,https://image.tmdb.org/t/p/original/1oV2rq7PEuKILrBd9vBL9bChRYf.jpg
My Fault,Domingo González,"Romance, Drama","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.913,3118,2023-06-08,https://image.tmdb.org/t/p/original/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
Despicable Me 4,Chris Renaud,"Animation, Family, Comedy, Science Fiction","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.082,2304,2024-06-20,https://image.tmdb.org/t/p/original/mAx0fEjmO6oZxpEFpLWB0OQjfyM.jpg
Carry-On,Jaume Collet-Serra,"Action, Mystery, Thriller",An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,7.0,434,2024-12-05,https://image.tmdb.org/t/p/original/iOwZdJJt80Zuhi5VOY6QMj4dLEJ.jpg
GTMAX,Olivier Schneider,"Action, Crime, Drama","When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",6.152,79,2024-11-19,https://image.tmdb.org/t/p/original/bx92hl70NUhojjO3eV6LqKllj4L.jpg
Levels,Adam Stern,"Action, Science Fiction, Thriller","After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",5.8,39,2024-11-01,https://image.tmdb.org/t/p/original/y1xm0jMIlx9Oo2a3jWNyLGm43sJ.jpg
Sikandar Ka Muqaddar,Neeraj Pandey,"Thriller, Crime, Mystery, Action","After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.",6.0,11,2024-11-29,https://image.tmdb.org/t/p/original/eWUh4rgxtgypgnOa6uGMnUt01ux.jpg
Arena Wars,Brandon Slagle,"Action, Science Fiction, Thriller, Comedy, Horror","In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",5.4,31,2024-06-25,https://image.tmdb.org/t/p/original/4dRtXjk1rcsZlaMJpBn6Nh9cTfO.jpg
The Moor,Chris Cronin,"Horror, Mystery, Drama",Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.,4.9,20,2024-06-14,https://image.tmdb.org/t/p/original/vK9gEHVeoT3w5Erzk7TkOWtKBnB.jpg
How the Grinch Stole Christmas,Ron Howard,"Family, Comedy, Fantasy",The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,6.8,7473,2000-11-17,https://image.tmdb.org/t/p/original/1w4eDWLktv0rSoluHg2KWTQGQEK.jpg
Solo Leveling -ReAwakening-,Shunsuke Nakashige,"Action, Adventure, Fantasy, Animation","Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",7.792,24,2024-11-26,https://image.tmdb.org/t/p/original/Ai3WYz6Gvel39ov95QhFbGE2x2S.jpg
Hunting With Tigers,Jérémie Guez,"Action, Thriller","Malik, a young Parisian hustler, discovers that his stepfather Serge, a famous bank robber, has been arrested along with his accomplices. During the trial, Iris, one of the accused's lawyers, Chérif, requests Malik to accept a dangerous heist in exchange for Serge and her client's liberty. Malik must convince and reunite Chérif's former partners to accomplish this high-risk stickup.",6.0,40,2024-11-22,https://image.tmdb.org/t/p/original/80Fpd8a5BibX3kAD5lpZhCKqSyV.jpg
Scream 4,Wes Craven,"Horror, Mystery","Ten years have passed, and Sidney Prescott has put herself back together thanks to her writing. However, her return to Woodsboro sparks the return of the Ghostface Killer.",6.46,3719,2011-04-13,https://image.tmdb.org/t/p/original/6b7QW0rseIiD6b5hqCFPqE378t.jpg
Classified,Roel Reiné,"Action, Thriller","Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",5.9,96,2024-09-19,https://image.tmdb.org/t/p/original/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg
Spellbound,Vicky Jenson,"Animation, Fantasy, Family, Adventure, Comedy","When a powerful spell turns her parents into giant monsters, a teenage princess must journey into the wild to reverse the curse before it's too late.",6.875,152,2024-11-22,https://image.tmdb.org/t/p/original/5EuptrsaQyIE4YWqeowCdbolshL.jpg
Survive,Frédéric Jardin,"Thriller, Adventure, Action, Science Fiction",A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,5.8,78,2024-06-19,https://image.tmdb.org/t/p/original/901kRttzfLScns7ss7RyKqG6d2A.jpg
Japanese Mom,Kim Moo-won,"Romance, Drama","""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",6.172,29,2017-02-09,https://image.tmdb.org/t/p/original/mCDzIKBPBLLOaFSO7WXCNgrg8f2.jpg
The Grinch,Yarrow Cheney,"Animation, Family, Comedy, Fantasy",The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,6.9,3979,2018-11-08,https://image.tmdb.org/t/p/original/eCHNCoat9L0Q3p4XjBQqV2Zn7Ux.jpg
Arcadian,Benjamin Brewer,"Action, Horror, Thriller, Science Fiction","In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",6.1,489,2024-04-12,https://image.tmdb.org/t/p/original/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg
Bad Boys: Ride or Die,Adil El Arbi,"Action, Comedy, Crime, Thriller, Adventure","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.482,2437,2024-06-05,https://image.tmdb.org/t/p/original/oGythE98MYleE6mZlGs5oBGkux1.jpg
Home Alone 2: Lost in New York,Chris Columbus,"Comedy, Family, Adventure","Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",6.8,9617,1992-11-15,https://image.tmdb.org/t/p/original/6YqkD9h0woc4OdNzlp4fDyvtxPT.jpg
Wake Up,François Simard,"Horror, Thriller, Action","A group of young activists set out to make an environmental statement by vandalizing a home superstore as it closes. But their plan goes terribly wrong when they become trapped inside and must face a deranged security guard with a gruesome passion for primitive hunting. As the night fills with violence and terror, the teenagers find themselves in a desperate fight for their lives.",7.4,74,2024-05-08,https://image.tmdb.org/t/p/original/erEAU7ygq2XFjziI3FpAdMajJFZ.jpg
Azrael,E.L. Katz,"Action, Horror, Thriller","In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",6.0,147,2024-09-27,https://image.tmdb.org/t/p/original/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
Pídeme lo que quieras,Lucía Alemany,"Romance, Drama","After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",7.2,6,2024-11-29,https://image.tmdb.org/t/p/original/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg
Pimpinero: Blood and Oil,Andrés Baiz,"Action, Crime, Drama","When Juan, a young gasoline smuggler, is forced to work for a mysterious organization in the desert bordering Colombia and Venezuela, his girlfriend Diana embarks on a journey to uncover the secrets that inhabit this no-man’s-land.",7.268,41,2024-10-10,https://image.tmdb.org/t/p/original/kukotsflOSVGXQezuXohj41dbfL.jpg
Flow,Gints Zilbalodis,"Animation, Fantasy, Adventure","A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.505,411,2024-08-29,https://image.tmdb.org/t/p/original/zeinX0xt78GgtpCQjx7d2S6Gh7g.jpg
We Live in Time,John Crowley,"Romance, Drama","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",7.6,217,2024-10-10,https://image.tmdb.org/t/p/original/oeDNBgnlGF6rnyX1P1K8Vl2f3lW.jpg
The Count of Monte Cristo,Alexandre de La Patellière,"Action, Adventure, Drama","Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",8.2,990,2024-06-28,https://image.tmdb.org/t/p/original/1tmKLVnB1zWNYLvq7qJ2P5jujzA.jpg
Dear Santa,Bobby Farrelly,"Fantasy, Comedy","Likeable 6th grader Liam writes to Santa asking him to prove that he's real. But Liam is dyslexic and accidentally sends his letter to Satan instead, who shows up at Liam's house, excited to have his first fanboy letter and wanting a little of Liam's soul.",6.5,165,2024-11-24,https://image.tmdb.org/t/p/original/fRbDHbGBXg6kwQYr3CRYeKPJW5q.jpg
Culpa tuya,Domingo González,"Drama, Romance",The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,0.0,0,2024-12-26,https://image.tmdb.org/t/p/original/bn4qZZO5nSN48D5pXVypf4MF2wg.jpg
The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,"Animation, Fantasy","183 years before the events chronicled in the original trilogy, a sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand and his people to make a daring last stand in the ancient stronghold of the Hornburg. Finding herself in an increasingly desperate situation, Héra, the daughter of Helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction.",6.7,65,2024-12-05,https://image.tmdb.org/t/p/original/hE9SAMyMSUGAPsHUGdyl6irv11v.jpg
Venom,Ruben Fleischer,"Science Fiction, Action","Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",6.835,16103,2018-09-28,https://image.tmdb.org/t/p/original/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
Remnant,Mike Horan,"Science Fiction, Horror, Thriller","Grace is a young woman whose life has been turned upside down by tragedy. When she returns home to the family farm to rebuild her shattered life, her world begins to unravel as a series of strange events haunt her, pushing Grace to the edge of madness. A mysterious figure lurks in the shadows and a ghostly woman appears in the darkness of night. Is Grace imagining these apparitions, or are they a warning of a nightmare still to come?",4.5,6,2024-06-30,https://image.tmdb.org/t/p/original/uu2dYn0aPbZCu8SoD7Gl2CW0PkP.jpg
Moana,Thomas Kail,"Adventure, Comedy, Family, Fantasy","In Ancient Polynesia, when a terrible curse incurred by Maui reaches the island of an impetuous Chieftain, his willful daughter answers the Ocean's call to seek out the demigod to set things right.  Live-action adaptation of the 2016 Disney animated film 'Moana'",0.0,0,2026-07-09,https://image.tmdb.org/t/p/original/cunira0Ho7hLigwAwrPXfCvgXu3.jpg
Whisper of the Witch,Serik Beyseu,"Horror, Thriller","Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",6.393,14,2024-06-13,https://image.tmdb.org/t/p/original/raDMchyq3dJMqso2TVh75A123Xb.jpg
The Soul Eater,Julien Maury,"Thriller, Horror, Crime, Mystery","When the disappearance of children and bloody murders multiply in a small mountain village, an old legend shrouded in sulphur reappears... Commander Guardiano and Captain of the Gendarmerie De Rolan are forced to join forces to uncover the truth.",6.172,90,2024-04-24,https://image.tmdb.org/t/p/original/m0HSecww9Tm79pbiXAE9zqLqq9T.jpg
Dune: Part Two,Denis Villeneuve,"Science Fiction, Adventure","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.151,5743,2024-02-27,https://image.tmdb.org/t/p/original/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg
Skin. Like. Sun.,Jennifer Lyon Bell,Romance,"Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",6.5,22,2010-02-19,https://image.tmdb.org/t/p/original/uCkANtG6ezb7hjRKVudY3PUcbvn.jpg
Joker: Folie à Deux,Todd Phillips,"Drama, Crime, Thriller","While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",5.5,1838,2024-10-01,https://image.tmdb.org/t/p/original/tXF2p2hthwXDXvCyXcwWuJKgaHD.jpg
28 Days Later,Danny Boyle,"Horror, Thriller, Science Fiction","Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",7.2,6737,2002-10-31,https://image.tmdb.org/t/p/original/sIGsLU7hMDVKhGKsRFcFxUAtFyT.jpg
Maria,Pablo Larraín,"Drama, Music","Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity and life.",6.7,36,2024-11-27,https://image.tmdb.org/t/p/original/6xHKEYfrO1FpVZJJnKy5BhfWVCK.jpg
Subservience,SK Dale,"Science Fiction, Thriller, Horror","With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",6.699,402,2024-08-15,https://image.tmdb.org/t/p/original/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
Do Not Enter,Hugo Cardozo,Horror,"Two working class youtubers ‘in the making’ enter an abandoned mansion to get their basketball back, and get lost inside while pranking each other. They record their ‘quick adventure’ with their phones for their audience, and tweak it with a fake phantom appearance to attract more followers to their YouTube channel. When uploaded the video goes viral, so they start a challenge: if the video reaches a certain number of views, they will enter the house again, at night, alone, totally unprotected. As fans react positively, they will do as promised, not only to discover and unveil the true nature of the place and their inhabitants, but to realize they might not be among the living anymore. Which opens a question - how far would you go to be famous?",7.228,92,2024-08-06,https://image.tmdb.org/t/p/original/1iPuEIcybEc9Y6aKJ8BGAnMadFX.jpg
Avengers: Infinity War,Joe Russo,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.243,29826,2018-04-25,https://image.tmdb.org/t/p/original/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Dominique,Michael S. Ojeda,"Action, Thriller","Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",7.5,80,2024-10-11,https://image.tmdb.org/t/p/original/jvug7Esd89yNLJwGvUfeQ9j69cE.jpg
The Garfield Movie,Mark Dindal,"Animation, Comedy, Family, Adventure, Action","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",7.111,1117,2024-04-30,https://image.tmdb.org/t/p/original/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg
Knox Goes Away,Michael Keaton,"Crime, Thriller, Action","A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.",6.9,280,2024-03-15,https://image.tmdb.org/t/p/original/w39qKYjltCix18BwtoZ1e45usdb.jpg
OVERLORD: The Sacred Kingdom,Naoyuki Ito,"Action, Adventure, Animation, Fantasy","After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",7.7,25,2024-09-20,https://image.tmdb.org/t/p/original/2EGqjrMI2gm7QnB9eFEt6A0o0TA.jpg
