Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
The Wonderful Wizard of Oz,L. Frank Baum,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards, Juvenile literature, Wizards in fiction, Children's stories, Russian, Specimens, Imaginary voyages in fiction, Classic Literature, Imaginary Voyages, Children's stories, American, Adventure and adventurers, Open Library Staff Picks, Books and reading, Children's stories, Witches in fiction, History, Juvenile fiction, Latin language materials, Fairy tales, Children, Contes americains, Ouvrages pour la jeunesse, Fantasy, Fantasy fiction, Fantastic fiction, Novela fantástica, Fantasía, Teenage girls, Quests (Expeditions), Oz (Imaginary place), Children's fiction, Oz (imaginary place), fiction, Fiction, fantasy, general, Young adult fiction, Fiction, science fiction, general, Wizards, fiction, Fantasy & Magic, Classics, Literature and fiction, juvenile, American Fantasy fiction, History and criticism, Large type books, Dorothy Gale (Fictional character), French language materials, American literature, Children: Babies Toddlers, Wizard of Oz (Fictitious character), Friendship, Courage, Adventure stories, Dorothy Gale (Fictitious character), Children's literature, General, Contes américains, Roman pour la jeunesse, Contes, Tong hua, Er tong wen xue, Han yu pin yin, Er tong du wu, Translations into Chinese, Suo xie ben, Chinese language materials, Ying yu, Dui zhao du wu, Han yu, Pictorial works, Robots, fiction, Science fiction, Criticism and interpretation, Wizard of Oz (Baum, L. Frank), Fiction, general, Film adaptations, Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Courage -- Juvenile fiction, Home -- Juvenile fiction, Good and evil -- Juvenile fiction, Dreams -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Adventure and adventurers, fiction, Witches, fiction, Scarecrow (Fictitious character : Baum), Tin Woodman (Fictitious character), Cowardly Lion (Fictitious character), Oz (Lieu imaginaire), Romans, nouvelles, etc. pour la jeunesse, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, American fiction (fictional works by one author), Picture books, Fables, Toto (Fictitious character), Good and evil, Motion picture plays, Juvenile drama, JUVENILE FICTION / Fantasy & Magic","Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.",3.8,21,1900,http://covers.openlibrary.org/b/id/552443-L.jpg
On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes","Atomic Bomb, English Science fiction, Fiction, Literature, Nuclear warfare, Roman, Juvenile fiction, United States, United States. Navy, Fiction, science fiction, general, Science fiction, Rock music, discography","A novel about the survivors of an atomic war, who face an inevitable end as radiation poisoning moves toward Australia from the North.",4.2,24,1957,http://covers.openlibrary.org/b/id/997896-L.jpg
Anne of Green Gables,Lucy Maud Montgomery,"Fiction, Juvenile fiction, Country life, Friendship, Orphans, Friendship in fiction, Prince Edward Island in fiction, Orphans in fiction, Country life in fiction, Accessible book, Protected DAISY, Foster home care, Girls, Anne Shirley (Fictitious character), Children's fiction, Shirley, anne (fictitious character), fiction, Country life, fiction, Prince edward island, fiction, Friendship, fiction, Orphans, fiction, History, Teachers, Zhang pian xiao shuo, Er tong wen xue, Islands, Suo xie, Chang pian xiao shuo, Dictionaries, English language, Spanish, Er tong xiao shuo, Orphans -- Juvenile fiction, Friendship -- Juvenile fiction, Islands -- Juvenile fiction, Country life -- Prince Edward Island -- Juvenile fiction, Prince Edward Island -- History -- 20th century -- Juvenile fiction, Canada -- History -- 1867-1914 -- Juvenile fiction, Canada, Prince Edward Island, Canadian Fiction, Children's stories, American literature, Self-perception, Imagination, Shirley, Anne (Personnage fictif), Romans, nouvelles, etc. pour la jeunesse, Orphelines, Perception de soi, Amitié, Vie rurale, Large type books, Livres en gros caractères, Large print books, Fiction, general, Enseignants, Canada, fiction, Islands, fiction, Adoption, fiction, Schools, fiction, French language materials, Canada, history, fiction, Fiction, fantasy, general, Language arts, Education, Biography, Suo xie ben, Paper work, Comics & graphic novels, general","Anne, an eleven-year-old orphan, is sent by mistake to live with a lonely, middle-aged brother and sister on a Prince Edward Island farm and proceeds to make an indelible impression on everyone around her.",4.2,12,1908,http://covers.openlibrary.org/b/id/14641084-L.jpg
The Book of Dragons,Edith Nesbit,"Juvenile fiction, Children's stories, English, Fiction, Fairy tales, Dragons, Short stories, Children: Grades 2-3, Children's fiction, Dragons, fiction, Children's stories, Fiction, short stories (single author), Fiction, general","Eight madcap tales of unpredictable dragons — including one made of ice, another that takes refuge in the General Post Office, and a fire-breathing monster that flies out of an enchanted book and eats an entire soccer team! Marvelous adventure and excitement for make-believers of all ages.",4.1,157,1973,http://covers.openlibrary.org/b/id/4342323-L.jpg
Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams, Laura Ingalls Wilder, Laura Ingalls Laura Ingalls Wilder","Juvenile fiction, Ficción juvenil, Frontier and pioneer life, Fiction, Vida de pioneros, Juvenile literature, Children's fiction, Wisconsin, fiction, Frontier and pioneer life, fiction, Family life, fiction, Family life, little girl, Families, Family, Fmily life, Children's stories, Wisconsin, Farm life, Domestic fiction, Childhood and youth, Geography, Irlande, Géographie, Landeskunde, Large type books, Houses, fiction, Forests and forestry, fiction, 1932 Life, Frontier, Pioneer, Country, Late 1800s, Juvenile, Fiction / Biography, Based on true life, Storms, Cold, Fireplace, Sparse Furniture, Homemade wooden, Floors, Long Dresses, Aprons, United states, fiction","The first in a series of truly charming tales of life on the early American frontier, Little House in the Big Woods introduces us to Laura Ingalls, her Ma and Pa, big sister Mary and Baby Carrie. She lives in an isolated cabin in the Big Woods of Wisconsin and spends her days helping Ma with household chores, learning how to care for a house, farm and family. The descriptions of typical activities on a farm in that era will captivate the imaginations of young and old alike. This series also contains the titles Little House on the Prairie, On The Banks of Plum Creek, By the Shores of Silver Lake, The Long Winter, Farmer Boy, Little Town on the Prairie, These Happy Golden Years, and The First Four Years. They inspired the popular, 1970s television series Little House on the Prairie.",3.3,25,1932,http://covers.openlibrary.org/b/id/28677-L.jpg
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,"Girls, Juvenile fiction, Time, Literatura infantil alemana, fiction, fantasy, interest, tortoises, future, lilies, Children's fiction, Children, fiction, Fairy tales, Fantasy fiction, Friendship, Korean language, Korean language materials, Fiction, general, Friendship, fiction","*The Neverending Story* is Michael Ende's best-known book, but *Momo,* published six years earlier, is the all-ages fantasy novel that first won him wide acclaim. After the sweet-talking gray men come to town, life becomes terminally efficient. Can Momo, a young orphan girl blessed with the gift of listening, vanquish the ashen-faced time thieves before joy vanishes forever?",3.9,13,1973,http://covers.openlibrary.org/b/id/8574580-L.jpg
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"the Blitz, fauns, Turkish Delight, lions, English Children's stories, Fantasy & Magic, Action & Adventure, Classics, juvenile works, English Fantasy fiction, Witches, Winter, Science Fiction & Fantasy, English Christian fiction, Spanish language materials, Fiction, Good and evil, Leones, christianity, Open Library Staff Picks, Brujas, Magic, Translations from English, Children's stories, English, Ficción juvenil, Novela fantástica, open_syllabus_project, siblings, Fantasy fiction, Juvenile fiction, Bien y mal, Fantasy, Fairy tales, Lion, JUVENILE FICTION / Fantasy & Magic, Narnia (Imaginary place), JUVENILE FICTION / Classics, Children, Animals, Aslan the Lion (Fictitious character), JUVENILE FICTION / Action & Adventure, Friendship, Narnia (Lugar imaginario), Narnia (imaginary place), fiction, Children's fiction, Large type books, Children's literature, study and teaching, British and irish fiction (fictional works by one author), Adventure and adventurers, fiction, Child and youth fiction, Lion, fiction, Witches, fiction, Short stories, Literature and fiction, fantasy, Fiction, fantasy, general, Fiction, action & adventure, Pictorial works, Fiction, thrillers, general","Four adventurous siblings—Peter, Susan, Edmund, and Lucy Pevensie—step through a wardrobe door and into the land of Narnia, a land frozen in eternal winter and enslaved by the power of the White Witch. But when almost all hope is lost, the return of the Great Lion, Aslan, signals a great change . . . and a great sacrifice.

Journey into the land beyond the wardrobe! The Lion, the Witch and the Wardrobe is the second book in C. S. Lewis's classic fantasy series, which has been captivating readers of all ages for over sixty years. This is a stand-alone novel, but if you would like journey back to Narnia, read The Horse and His Boy, the third book in The Chronicles of Narnia.
([source][1])


  [1]: http://www.cslewis.com/us/books/hardcover/the-lion-the-witch-and-the-wardrobe/9780060234812/


----------
Also contained in:

 - [Chronicles of Narnia](https://openlibrary.org/works/OL70988W/The_Chronicles_of_Narnia)
 - [Tales of Narnia](https://openlibrary.org/works/OL71080W)",4.0,56,1950,http://covers.openlibrary.org/b/id/8441376-L.jpg
Goodnight Moon,Margaret Wise Brown,"Children's fiction, Picture books, Bedtime, fiction, Rabbits, fiction, Literature and fiction, juvenile, Rabbits, Stories in rhyme, Juvenile fiction, Moon in fiction, Board books, Hora de acostarse, Fiction, Bedtime in fiction, Rabbits in fiction, Ficción juvenil, Sleep, Bedtime, Night, Libros de láminas, Picture books for children, Spanish language materials, Specimens, Bilingual, Hmong language materials, Conejos, Bedtime & Dreams, Words, Concepts, Classics, Moon, fiction, Night, fiction, Counting books, Children's literature, history and criticism, Authorship, juvenile literature, Authorship, Large type books, Toy and movable books, Short stories, Boys, Comic books, strips, Teacher-student relationships, Dreams, fiction, Novela juvenil, Libros para contar, Animals, Materiales en español, Bilingües, Sleep, fiction","Goodnight to each of the objects in the great green room: the chairs, a comb, and the air.",3.2,28,1947,http://covers.openlibrary.org/b/id/35556-L.jpg
The Silver Chair,C.S. Lewis,"Fiction, Juvenile Fiction, Science Fiction & Fantasy, Children: Grades 2-3, Imaginary Voyages, Magic, Princes, Fantasy fiction, Children's stories, English, Captives, Good and evil, Brujas, Viajes, Voyages and travels, Novela fantástica, Adventure fiction, Witches, Novela juvenil, Bien y mal, Spanish language, Príncipes, Fantasy, Narnia (imaginary place), fiction, Children's fiction, Child and youth fiction, Princesses, fiction, Adventure and adventurers, fiction, Fiction, fantasy, general",Jill and Eustace must rescue the Prince from the evil Witch.,4.5,21,1953,http://covers.openlibrary.org/b/id/6950992-L.jpg
The most dangerous game,Richard Connell,"Fiction, Hunting, Islands, survival of the fittest, animal trapping, trapping pits, knouts, hunting dogs, Cossacks, deaf-mutes, snow leopards, jaguars, Juvenile fiction, Hunting stories, Juvenile works, Human hunting, Big game sport, Travel fiction, Survival, Fiction, general, New york (n.y.), fiction, Caribbean area, fiction, Fiction, short stories (single author)","The Most Dangerous Game is the popular short story originally published in 1924 which was written by Richard Connell. This is the story of a big game hunter who is trapped on an island with a fellow hunter, who is uninterested in hunting stereotypical prey, and instead decides that the only prey worthy of his skills is other humans. This title is often required reading in middle schools, and has been since adapted into movies and extended versions. This title is the original version by the author, and is considered one of the greatest short stories ever written.",4.2,4,1990,http://covers.openlibrary.org/b/id/8561531-L.jpg
The Secret Garden,"Frances Hodgson Burnett, Francis Hodgson Burnett, Miller, Steve, Luisa Uribe","Fiction, general, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, Child and youth fiction, Children's fiction, Gardens, fiction, England, fiction, American literature, Orphans, fiction, Great britain, history, fiction, English language, Orphans, Juvenile fiction, Gardens, Fiction, Children with disabilities, Loneliness in children, Fiction, coming of age, Fantasy fiction, Toy and movable books, American fiction, People with disabilities, Stories, Huérfanos, Ficción juvenil, Jardines, Impedidos, Friendship, Sick children, History, Families, Pictorial works, Familles, Romans, nouvelles, etc. pour la jeunesse, Amitié, Jardins, Ouvrages illustrés, Children's stories, American, Great Britain, Personnes handicapées, Girls, fiction, American literature, study and teaching, American fiction, history and criticism, Children, Enfants, Romans, nouvelles, Orphelins, Roman pour la jeunesse, Physically handicapped, England, Literature, Dictionaries, Chinese, Selbsterziehung, Freundschaft, Garten, Waisenkind, Korean, Spanish, French, Therapeutic use, Gardening, Cousins, Spanish language materials, Detective and mystery stories, reading, strategies, classic, Accessible book, Protected DAISY, Physically disabled children, Children's stories, English, People with physical disabilities, Juvenile literature, Children's stories, JUVENILE FICTION / Family / Orphans & Foster Homes, JUVENILE FICTION / Girls & Women, JUVENILE FICTION / Social Themes / Friendship, JUVENILE FICTION / Lifestyles / Country Life, JUVENILE FICTION / Disabilities & Special Needs, English language, textbooks for foreign speakers, Readers, British and irish fiction (fictional works by one author), Grandparents, fiction, Great britain, history, 19th century, fiction, Grandfathers, Language and languages, study and teaching, Love, fiction, Mystery and detective stories, Holmes, sherlock (fictitious character), fiction, Fiction, mystery & detective, general, Private investigators, fiction, Literature and fiction, juvenile, Fiction, action & adventure, Fiction, thrillers, suspense",A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,2.2,13,1911,http://covers.openlibrary.org/b/id/12622062-L.jpg
Little men,"Louisa May Alcott, Reginald Birch, J. T. Barbarese, John Matteson, Alfredo Ricardo Abraham, Ricardo Abraham, Reginald Bathurst Birch, Reginald Bathurst 1856-1943 Birch, Reginald B. Birch, Jan Oliveira","Louisa May Alcott, Children, Children's, Kid's, Juvenile, History, Historical, Fiction, Classic, Literature, Stories, Book, Hardcover, Paperback, e-books, Families, Family life, Family, Boys, Conduct of life, Children's stories, American, Friendship, Boarding schools, Schools, 1997, Movie tie-in, LITERATURA INFANTIL ESTADOUNIDENSE, Children's fiction, Boarding schools, fiction, Schools, fiction, Family life, fiction, New england, fiction, Orphans, fiction, Large type books, Juvenile fiction, Cousins, Twins, Orphans, Accelerated reader, March family (fictitious characters), fiction, American fiction (fictional works by one author), Fiction, historical, general, Juvenile literature, Fiction, short stories (single author), March family (Fictitious characters), Jo March (Fictitious character), Classic Literature, Romans, Internats, Famille, Famille March (Personnages fictifs), Romans, nouvelles, etc. pour la jeunesse, Histoire, Familles, Domestic fiction, Juvenile works, Family members, Juvenile fiction. @MCOLUMBaNew England, Private schools, Fiction, general","The characters from Little Women grow up and begin new adventures at Plumfield, a progressive school founded by Jo and her husband, Professor Bhaer.

Follows the adventures of Jo March and her husband Professor Bhaer as they try to make their school for boys a happy, comfortable, and stimulating place.***--LibraryThing***

With two sons of her own, and twelve rescued orphan boys filling the informal school at Plumfield, Jo March -- now Jo Bhaer -- couldn't be happier. But despite the warm and affectionate help of the whole March family, boys have a habit of getting into scrapes, and there are plenty of troubles and adventures in store.***--goodreads***",4.0,7,1885,http://covers.openlibrary.org/b/id/8043576-L.jpg
Black Beauty,Anna Sewell,"Black Beauty, Anna Sewell, Original publication 1877, 19th Century, Children, Children's, Kids, Juvenile, Classic, Fiction, Books, Stories, Drama, Biography, History, Legends, Animals, Classic Literature, Juvenile Literature, Animals - Horses, Horses, Animal rights, Humane treatment, Kindness, Gentleness, Goodness & cruelty, Morals, Morality, Children's fiction, Horses, fiction, England, fiction, Animals, treatment, fiction, Juvenile fiction, Folklore, Specimens, Toy and movable books, Juvenile sound recordings, Black Beauty (Fictitious character), High interest-low vocabulary books, Easy reading materials, Child and youth fiction, Fiction, historical, Great britain, fiction, Readers, Fairy tales, Adventure and adventurers, fiction, Fiction, romance, general, Adaptations, Comic books, strips, Graphic novels, Animal welfare, Social conditions, Treatment, Literature and fiction, juvenile, Chevaux, Romans, nouvelles, etc. pour la jeunesse, New england, fiction","(Ages 9-12, Gr. 4-7) An **animal rights classic** that's also an engaging read, **BLACK BEAUTY follows the life of an ebony horse from birth to old age**, and from pasture to the cobblestone streets of **19th century England** This morality tale and **animal ""autobiography""** gives a sweet and kind horse **a voice that's relatable yet unsentimental.**. Black Beauty's life begins on the grounds of an aristocratic English family. The **young horse learns early lessons from his mother like how not to bite or kick even in play** before circumstances force his sale to a new master; it's the first of several such sales/moves for the horse. As **his life intersects with different human owners, caretakers, and neighbors**, Black Beauty **experiences different kinds of care and abuse**, and he observes the **differing attitudes of humans toward horses.** Peppered throughout the novel are the **moral lessons** that the author, **Anna Sewell **who is the author**, wants to impart to her readers:** that **truly good humans are kind to all of God's creatures,** that **parents should teach their children to be kind to animals,** and perhaps most important, that **even though they can't speak, horses can feel so that makes this fiction/fake.** Anna Sewell was a devout Quaker, and that is apparent in her pacifist point of view, and in the book's **emphasis on the value of hard work without complaint.**


**strong text** author: a person who wrote the book",3.3,25,1877,http://covers.openlibrary.org/b/id/5007492-L.jpg
