isbn13,title,subtitle,authors,categories,description,published_year,average_rating,ratings_count
9780450040184,The Shining,,Stephen King,Boys,"Cut off by blizzards, the hotel seems to develop an evil force, and who are the mysterious guests in the supposedly empty hotel?",1977.0,4.21,911271.0
9780439244190,Holes,,Louis Sachar,Blind,Newbery Medal Award Winner 1999.,1998.0,3.95,844072.0
9780141439471,"Frankenstein, Or, The Modern Prometheus",,Mary Wollstonecraft Shelley,Fiction,Edited by Maurice Hindle.,2002.0,3.78,827747.0
9780743247542,The Glass Castle,A Memoir,Jeannette Walls,Biography & Autobiography,,2006.0,4.26,752358.0
9780517189603,The Secret Garden,,Frances Hodgson Burnett,Juvenile Fiction,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,1998.0,4.13,725384.0
9780393970128,Dracula,"Authoritative Text, Backgrounds, Reviews and Reactions, Dramatic and Film Variations, Criticism",Bram Stoker,Fiction,This Norton Critical Edition presents fully annotated the text of the 1897 First Edition.,1997.0,3.99,724147.0
9780307275554,The Devil Wears Prada,,Lauren Weisberger,Fiction,"A small-town girl fresh out of an Ivy League college lands a job at a prestigious fashion magazine, but wonders if the glamorous perks are worth working for the editor from hell.",2006.0,3.73,723487.0
9780375751516,The Picture of Dorian Gray,,Oscar Wilde,Fiction,The handsome appearance of dissolute young Dorian Gray remains unchanged while the features in his portrait become distorted as his degeneration progresses,1998.0,4.07,705175.0
9780141439600,A Tale of Two Cities,,Charles Dickens,Fiction,Edited with an Introduction and Notes by Richard Maxwell.,2003.0,3.83,693045.0
9780345418265,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,Fiction,"In this 30th anniversary edition, Goldman frames the famous fairy tale with an ""autobiographical"" story: his father abridged the book as he read it to his son.",2003.0,4.26,673146.0
9780440498056,A Wrinkle in Time,,Madeleine L'Engle,Juvenile Fiction,"A midnight visitor escorts Meg, Calvin, and Charles across the barriers of space and time to another world.",1973.0,4.01,665242.0
9780751529814,Tuesdays with Morrie,"An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,Amyotrophic lateral sclerosis,,2003.0,4.09,651567.0
9780440242949,Outlander,,Diana Gabaldon,Fiction,,2005.0,4.22,627194.0
9780553381696,A Clash of Kings,,George R. R. Martin,Fiction,"With his estate divided and his family scattered, Lord Eddard Stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land. Reprint.",2002.0,4.41,599010.0
9780786856862,"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",,Rick Riordan,Juvenile Fiction,"Percy Jackson and the Olympians, Book Two: Sea of Monsters, The",2006.0,4.24,594249.0
9780451528827,Anne of Green Gables,,Lucy Maud Montgomery,Fiction,"When the freckled girl realizes that the elderly Cuthberts wanted to adopt a boy instead, she begins to try to win them?and, consequently, the reader?over.",2003.0,4.24,583568.0
9780521618748,Hamlet,,William Shakespeare,Juvenile Nonfiction,,2005.0,4.01,577429.0
9780307265432,The Road,,Cormac McCarthy,Fiction,,2006.0,3.96,574745.0
9780743477109,Macbeth,,William Shakespeare,Drama,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",2003.0,3.89,560816.0
9780451525260,Les Miserables a New Unabridged Translation,,Victor Hugo,Fiction,"After nineteen years in prison, Jean Valjean has difficulty adjusting to the outside world, which scorns and shuns him",1987.0,4.16,559595.0
9780143038092,The Joy Luck Club,,Amy Tan,Fiction,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughter's memories and feelings.",2006.0,3.91,550264.0
9780060531041,One Hundred Years of Solitude,,Gabriel Garcia Marquez,Fiction,,2003.0,4.06,547207.0
9780349113913,Me Talk Pretty One Day,,David Sedaris,Education,"His teacher, a sadist, declared that every day spent with him was like giving birth the Caesarean way! These hilarious essays were inspired by that move.",2002.0,3.98,546269.0
9780394800165,Green Eggs and Ham,,Theodor Seuss Geisel;Dr. Seuss,Juvenile Fiction,Sam-I-Am tries to persuade his friend to try green eggs and ham.,1960.0,4.3,539202.0
9780345339737,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,John Ronald Reuel Tolkien,Fantasy fiction,,2012.0,4.52,532629.0
9780451207142,The pillars of the earth,,Ken Follett,Fiction,"A story of passion and idealism, which describes a group of men and women in the Middle Ages whosedestinies are fatefully linked with the building of a cathedral.",2002.0,4.31,530446.0
9780312422158,Middlesex,A Novel,Jeffrey Eugenides,Fiction,,2003.0,3.99,526111.0
9780192833594,Great Expectations,,Charles Dickens,Fiction,"Presents the classic story of the orphan Pip, the convict Magwitch, the beautiful Estella, and her guardian, the embittered Miss Havisham",1998.0,3.76,523790.0
9780582418271,The Firm,,John Grisham,Fiction,"Mitch McDeere, a Harvard Law graduate, becomes suspicious of his Memphis tax firm when mysterious deaths, obsessive office security, and the Chicago mob figure into its operations.",1999.0,4.0,522946.0
9780143037149,The Memory Keeper's Daughter,,Kim Edwards,Fiction,,2006.0,3.65,519878.0
9780141439587,Emma,,Jane Austen,Fiction,New chronology and further reading; Tony Tanner's original introduction reinstated Edited with an introduction and notes by Flora Stafford.,2002.0,3.99,519245.0
9780553582024,A Feast for Crows,,George R. R. Martin,Fiction,,2006.0,4.13,491147.0
9780312353766,The Red Tent,A Novel,Anita Diamant,Fiction,"Based on the Book of Genesis, Dinah shares her perspective on religous practices and sexul politics.",2005.0,4.17,453899.0
9780312321185,Something Borrowed,,Emily Giffin,Fiction,"After a night of indiscriminate partying, Rachel sleeps with a close friend's fianc and is consumed with guilt, until the intensity of her feelings forces her to make a difficult choice.",2004.0,3.84,439930.0
9780671727796,The Color Purple,,Alice Walker,Fiction,"The lives of two sisters--Nettie, a missionary in Africa, and Celie, a southern woman married to a man she hates--are revealed in a series of letters exchanged over thirty years",1985.0,4.19,425928.0
9780066238500,The Chronicles of Narnia (adult),,C. S. Lewis,Fiction,,2001.0,4.26,425445.0
9780192802637,Persuasion,,Jane Austen,Fiction,"The romance between Captain Wentworth and Anne, the daughter of Sir Walter Elliot, seems doomed because of the young man's family connections and lack of wealth.",2004.0,4.13,421344.0
9780743227445,The Other Boleyn Girl,,Philippa Gregory,Fiction,,2001.0,4.05,408775.0
9780739461198,Marley and me : love and life with the world's worst dog,,John Grogan,Labrador retriever,"They were young and in love, with a perfect little house and not a care in the world.",2005.0,4.13,406585.0
9780312360269,Marked,A House of Night Novel,P. C. Cast;Kristin Cast,Juvenile Fiction,Sixteen-year-old Zoey Redbird is Marked as a fledging vampyre and joins the House of Night where she will train to become an adult vampyre.,2007.0,3.8,388266.0
9780743269513,The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Stephen R. Covey,Self-Help,,2004.0,4.09,387431.0
9780393327342,Fight Club: A Novel,,Chuck Palahniuk,Fiction,,2005.0,4.2,384407.0
9780440227533,Number the Stars,,Lois Lowry,Juvenile Fiction,"In 1943, during the German occupation of Denmark, ten-year-old Annemarie learns how to be courageous and resourceful as she helps shelter her Jewish friend from the Nazis. Newbery Medal Winner. Reprint. AB. SLJ.",1989.0,4.13,379669.0
9780385721790,Atonement,A Novel,Ian McEwan,Fiction,,2003.0,3.89,379336.0
9780061139376,Coraline,,Neil Gaiman,Fiction,And there's another mother and father there who want Coraline to be their little girl. In Coraline's family's new flat there's a locked door.,2006.0,4.05,377685.0
9780060853983,Good Omens,"The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil Gaiman;Terry Pratchett,Fiction,,2006.0,4.25,373135.0
9780743477543,A Midsummer Night's Dream,,William Shakespeare,Drama,"Shakespeare's popular comedy of love and mistaken identity is accompanied by a section on reading Shakespeare's language, information on Shakespeare's life and theater, explanatory notes, annotated reading lists, and an essay",1993.0,3.94,371813.0
9780142000656,East of Eden,,John Steinbeck,Fiction,The biblical account of Cain and Abel is echoed in the history of two generations of the Trask family in California.,2002.0,4.37,358668.0
9780385339087,The Client,,John Grisham,Fiction,,2005.0,3.99,351882.0
9780241003008,The Very Hungry Caterpillar,,Eric Carle,Babytime resource,Eric Carle's children's classic is the story of a very small and very hungry caterpillar who manages to nibble his way through the pages of this enchanting book.,1994.0,4.29,340101.0
9780156030304,Flowers for Algernon,,Daniel Keyes,Fiction,"With more than five million copies sold, ""Flowers for Algernon"" is the beloved, classic story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse.",2005.0,4.11,332849.0
9780385494786,Into Thin Air,A Personal Account of the Mount Everest Disaster,Jon Krakauer,Biography & Autobiography,"Everest, a disastrous expedition that claimed the lives of eight climbers, and explains why he survived The author describes his spring 1996 trek to Mt.",1999.0,4.15,327791.0
9780061120077,A Tree Grows in Brooklyn,,Betty Smith,Fiction,,2006.0,4.26,326733.0
9780553279375,I Know why the Caged Bird Sings,,Maya Angelou,Biography & Autobiography,A black woman recalls the anguish of her childhood in Arkansas and her adolescence in northern slums.,1993.0,4.22,326424.0
9780618711659,Extremely Loud and Incredibly Close,,Jonathan Safran Foer,Fiction,,2006.0,3.98,325230.0
9780385339704,The Pelican Brief,,John Grisham,Fiction,"When the Supreme Court's most liberal and most conservative justices are gunned down, law student Darby Shaw builds a case against a powerful suspect, whose threats send her underground. 35,000 first printing. Reprint.",2006.0,3.98,323142.0
9780451528551,The Time Machine,,Herbert George Wells,Fiction,,2002.0,3.88,320900.0
9780452011878,Atlas Shrugged,,Ayn Rand,Capitalism,The decisions of a few industrial leaders shake the roots of capitalism and reawaken man's awareness of himself as an heroic being.,1957.0,3.68,311883.0
9781400034680,Love in the Time of Cholera,,Gabriel García Márquez,Fiction,,2003.0,3.9,310177.0
9780439709101,Inkheart,,Cornelia Caroline Funke,Juvenile Fiction,,2005.0,3.87,309700.0
9780143034902,The Shadow of the Wind,,Carlos Ruiz Zafón,Fiction,,2005.0,4.26,306069.0
9780451169518,It,A Novel,Stephen King,Fiction,"A group of teenagers stumbles upon an evil force that will eventually draw them all back to Derry, Maine, for a final showdown. Reissue.",1990.0,4.23,293877.0
9780307279460,A Walk in the Woods,Rediscovering America on the Appalachian Trail,Bill Bryson,Sports & Recreation,"Traces the author's adventurous trek along the Appalachian Trail past its natural pleasures, human eccentrics, and offbeat comforts.",2007.0,4.06,291489.0
9780091883768,Who Moved My Cheese?,An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,Self-Help,It is the amusing and enlightening story of four characters who live in a maze and look for cheese to nourish them and make them happy.,2002.0,3.78,288074.0
9780671021009,She's Come Undone,,Wally Lamb,Fiction,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years.",1998.0,3.86,281643.0
9780061142024,Stardust,,Neil Gaiman,Fiction,Young Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky.,2006.0,4.08,264799.0
9780743223133,John Adams,,David McCullough,Biography & Autobiography,,2002.0,4.06,264047.0
9780060775858,Goodnight Moon 60th Anniversary Edition,,Margaret Wise Brown,Juvenile Fiction,,2005.0,4.27,264013.0
9781400033416,Beloved,A Novel,Toni Morrison,Fiction,,2004.0,3.81,263625.0
9780743477550,Othello,,William Shakespeare,Drama,,1993.0,3.88,261813.0
9780679785897,Fear and Loathing in Las Vegas,A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,Biography & Autobiography,Records the experiences of a free-lance writer who embarked on a zany journey into the drug culture,1998.0,4.08,259867.0
9780446696616,1st to Die,,James Patterson,Fiction,,2005.0,4.07,259028.0
9780439227148,The Call of the Wild,,Jack London,Juvenile Fiction,"When Buck is stolen from his kind family, he must quickly learn a new set of survival rules as he is taken away to the gold-crazed North by unsavory men. Original.",2000.0,3.85,255627.0
9780590032490,The witches,,Roald Dahl,Juvenile Nonfiction,"A young boy and his Norwegian grandmother, who is an expert on witches, together foil a witches' plot to destroy the world's children by turning them into mice.",1997.0,4.17,254867.0
9780451216953,Dark Lover,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,,2005.0,4.2,250693.0
9780552135399,A Prayer for Owen Meany,,John Irving,American fiction,,1990.0,4.23,246360.0
9780679889106,The Lorax,,Dr. Seuss,Juvenile Fiction,The Once-ler describes the consequences of local pollution and business practices that harm the environment.,1998.0,4.35,245819.0
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy,,Douglas Adams,Fiction,,2002.0,4.38,240189.0
9780385339698,The Runaway Jury,,John Grisham,Fiction,,2006.0,3.97,239779.0
9780061150142,The Pact,A Love Story,Jodi Picoult,Fiction,,2006.0,4.01,237587.0
9780141439808,Mansfield Park,,Jane Austen,Fiction,"The private and social worlds of three families are revealed through the experiences of the heroine, Fanny Price.",2003.0,3.85,234760.0
9780684823782,Mere Christianity,"Comprising The Case for Christianity, Christian Behaviour, and Beyond Personality",C. S. Lewis,Religion,Discusses the essence of Christian faith and the doctrine of the Trinity.,1996.0,4.32,233819.0
9780571224388,The Unbearable Lightness of Being,,Milan Kundera,Adultery,,2004.0,4.09,233448.0
9780142437018,A Little Princess,,Frances Hodgson Burnett,Fiction,"Sara Crewe, a pupil at Miss Minchin's London school, is left in poverty when her father dies but is later rescued by a mysterious benefactor.",2002.0,4.19,232387.0
9780822210894,A Streetcar Named Desire,Play in Three Acts,Tennessee Williams,Drama,Tennessee Williams' classic drama studies the emotional disintegration of a Southern woman whose last chance for happiness is destroyed by her vindictive brother-in-law.,1953.0,3.98,229601.0
9780767908184,A Short History of Nearly Everything,,Bill Bryson,Science,,2004.0,4.2,228522.0
9780553803709,"I, Robot",,Isaac Asimov,Fiction,The development of robot technology to a state of perfection by future civilizations is explored in nine science fiction stories.,2004.0,4.19,225145.0
9780553384284,Odd Thomas,,Dean Ray Koontz,FICTION,,2006.0,3.96,221395.0
9780440238157,The Amber Spyglass,,Philip Pullman,Juvenile Fiction,"Lyra and Will find themselves at the center of a battle between the forces of the Authority and those gathered by Lyra's father, Lord Asriel.",2003.0,4.09,219303.0
9781590302255,The Art of War,,Sun-Tzu;Sunzi,Philosophy,"For more than two thousand years, Sun-tzu's ""The Art of War"" has provided leaders with essential advice on battlefield tactics, managing troops and terrain, and employing cunning and deception.",2005.0,3.97,214954.0
9780553380163,A Brief History of Time,,Stephen Hawking,Science,,1998.0,4.16,214520.0
9780613371650,The Princess Diaries,,Meg Cabot,Juvenile Fiction,"With wry, observant wit, crown princess Mia chronicles her rocky first month of high school.",2001.0,3.78,210665.0
9780099910107,A Farewell to Arms,,Ernest Hemingway,War,"He recreates the fear, the comradeship, the courage of his young American volunteer and the men and women he meets in Italy with total conviction.",1994.0,3.8,210197.0
9781416914631,Go Ask Alice,,Anonymous,Young Adult Fiction,"Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city.",2006.0,3.76,209572.0
9780061120060,Their Eyes Were Watching God,,Zora Neale Hurston,Fiction,,2006.0,3.9,209110.0
9780385335973,Dragonfly in Amber,,Diana Gabaldon,Fiction,"In eighteenth-century Scotland, Claire Randall and her raven-haired daughter, Brianna, return to the majestic hills where Claire recalls the love of her life--gallant warrior James Fraser.",2001.0,4.32,208928.0
9780394820378,The Phantom Tollbooth,,Norton Juster,Juvenile Fiction,A journey through a land where Milo learns the importance of words and numbers provides a cure for his boredom.,1996.0,4.21,206193.0
9781400079278,Kafka on the Shore,,Haruki Murakami,Fiction,,2006.0,4.13,206089.0
9780618485222,The Namesake,,Jhumpa Lahiri,Fiction,,2004.0,3.98,203953.0
9780394541556,Maus,a survivor's tale,Art Spiegelman,Children of Holocaust survivors,,1991.0,4.34,202242.0
9780802142849,Cold Mountain,A Novel,Charles Frazier;George Vithoulkas,Fiction,"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death.",2006.0,3.85,201921.0
9780192833983,War and Peace,,Leo Tolstoy;graf Leo Tolstoy,Fiction,Presents the classic epic of the Napoleonic Wars and their effects on four Russian families,1998.0,4.11,201919.0
9781400034772,The No. 1 Ladies' Detective Agency,,Alexander McCall Smith,Fiction,"Working in Gaborone, Botswana, Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week.",2002.0,3.77,200338.0
9780765346520,Wizard's First Rule,,Terry Goodkind,Fiction,,2003.0,4.14,197049.0
9780307276902,A Million Little Pieces,,James Frey,Biography & Autobiography,,2004.0,3.63,195863.0
9781416500186,The Good Earth,,Pearl S. Buck;Stephanie Reents,Fiction,A Chinese peasant overcomes the forces of nature and the frailties of human nature to become a wealthy landowner.,2005.0,3.98,195372.0
9780060885373,Little House in the Big Woods,,Laura Ingalls Wilder,Juvenile Fiction,,2007.0,4.18,193862.0
9780679735779,American Psycho,A Novel,Bret Easton Ellis,Fiction,,1991.0,3.82,193100.0
9780060541811,The Andromeda Strain,,Michael Crichton,Fiction,A team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite.,2003.0,3.89,192637.0
9780385335997,Voyager,,Diana Gabaldon,Fiction,,2001.0,4.39,188662.0
9780553380958,Snow Crash,,Neal Stephenson,Fiction,"In twenty-first-century America, a teenaged computer hacker finds himself fighting a computer virus that battles virtual reality technology and a deadly drug that turns humans into zombies.",2000.0,4.03,187493.0
9780312323868,Something Blue,,Emily Giffin,Fiction,,2006.0,3.93,186552.0
9780446617796,The Angel Experiment,A Maximum Ride Novel,James Patterson,Fiction,,2006.0,4.08,184133.0
9780553383041,A Wizard of Earthsea,,Ursula K. Le Guin,Fiction,A boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the Master Wizard.,2004.0,4.0,182174.0
9780842342704,Left behind,a novel of the earth's last days,Tim Lahaye;Tim F. LaHaye;Jerry B. Jenkins,Fiction,"The first book in the author's successful ""last days"" series follows a 747 pilot as he tries to recover from the effects of ""The Rapture."" Reprint.",1998.0,3.83,181922.0
9780451528018,The Hound of the Baskervilles,,Arthur Conan Doyle,Fiction,Sir Charles Baskerville's sudden heart attack and death have the townspeople in shock and searching for the one to blame--the family dog--while Sherlock Holmes leads the investigation.,2001.0,4.1,178632.0
9780345915597,The World According to Garp,,John Irving,,This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes--even of sexual assassinations.,1999.0,4.08,178515.0
9780140135152,Ways of Seeing,A Book,John Berger;Sven Blomberg;Chris Fox;Michael Dibb;Richard Hollis,Art,Examines the social implications and psychological impact of the images and conventions of modern and classical artists,1972.0,3.78,177890.0
9780374528379,The Brothers Karamazov,A Novel in Four Parts With Epilogue,Fyodor Dostoevsky,Fiction,The violent lives of three sons are exposed when their father is murdered and each one attempts to come to terms with his guilt.,2002.0,4.32,177444.0
9780385721677,Oryx and Crake,A Novel,Margaret Atwood,Fiction,A novel of the future explores a world that has been devastated by ecological and scientific disasters.,2004.0,4.01,176663.0
9780385074070,Complete Stories and Poems of Edgar Allan Poe,,Edgar Allan Poe,Fiction,"A complete collection of the writings of Poe, including his mysteries, fantasies, satires, and poems",1966.0,4.38,174162.0
9780553381542,The Prince of Tides,,Pat Conroy,Fiction,,2002.0,4.24,173886.0
9780486266893,Candide,,Voltaire,Fiction,"Tells the story of Candide, a naive youth, who is conscripted, shipwrecked, robbed, and tortured by the Inquisition without losing his will to live",1991.0,3.76,172319.0
9780765305114,The Dragon Reborn,Book Three of 'The Wheel of Time',Robert Jordan,Fiction,"Able to touch the One Power but unable to control its great destructive power, a great messiah named Rand al'Thor flees from his destiny.",2002.0,4.25,171922.0
9780743253970,A Separate Peace,,John Knowles,Fiction,,2003.0,3.57,169719.0
9780060899226,Kitchen Confidential Updated Ed,Adventures in the Culinary Underbelly,Anthony Bourdain,Biography & Autobiography,,2007.0,4.06,168706.0
9780151009985,Mrs. Dalloway,,Virginia Woolf,Fiction,A poignant portrayal of the thoughts and events that comprise one day in a woman's life.,2002.0,3.79,167000.0
9780425134351,Patriot Games,,Tom Clancy,"Ryan, Jack (Fictitious character)",A former CIA analyst vacationing with his family in London helps thwart a terrorist attack on a member of the Royal Family and becomes the target of the terrorist whose brother he killed.,1992.0,4.13,164306.0
9781416524519,Cell,A Novel,Stephen King,Fiction,,2006.0,3.65,163786.0
9780451210852,The Drawing of the Three,,Stephen King,Fiction,Roland is drawn through a gateway of time and space into the drug-and-crime-ridden world of the twentieth-century to battle a dark power determined to prevent his search for the Dark Tower.,2003.0,4.23,163647.0
9780805063899,Nickel and Dimed,On (Not) Getting By in America,Barbara Ehrenreich,Business & Economics,"The sharp social critic and author of Blood Rites looks underneath the illusion of American prosperity at poverty and hopelessness in America. 100,000 first printing. Reprint.",2002.0,3.62,163279.0
9780140424386,The Canterbury Tales,,Geoffrey Chaucer,Poetry,,2003.0,3.49,161011.0
9780743455961,On Writing,,Stephen King,Biography & Autobiography,The author shares his insights into the craft of writing and offers a humorous perspective on his own experience as a writer.,2002.0,4.33,160056.0
9780345418906,"Life, the Universe and Everything",,Douglas Adams,Fiction,Arthur Dent and Ford Prefect learn why Earth has been shunned by the rest of the galaxy as they journey through space and time.,1982.0,4.2,158946.0
9781563892271,Preludes and Nocturnes,,Neil Gaiman;Sam Kieth;Mike Dringenberg;Todd Klein;Danny Vozzo,Comics & Graphic Novels,"A collection of eight comics that introduce the series' lead character, the Sandman, Lord of Dreams.",1991.0,4.25,158629.0
9780743226721,Seventeen Seventy-six,,David McCullough,Biography & Autobiography,,2006.0,4.07,158126.0
9780099428640,The Trial,,Franz Kafka,Fiction,"Written in 1914, The Trial is the terrifying tale of Josef K., a respectable bank officer who is suddenly arrested and must defend himself against a charge about which he can get no information.",2001.0,3.98,158037.0
9780060589462,Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,,2006.0,3.77,157734.0
9780060515195,Anansi Boys,,Neil Gaiman,Fiction,Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Now brother Spider's on his doorstep—about to make Fat Charlie's life more interesting .,2006.0,4.02,153485.0
9780345476883,The Vampire Lestat,,Anne Rice,Fiction,,2004.0,4.07,152168.0
9780451218049,Lover Eternal,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,,2006.0,4.35,152091.0
9780765356154,Jonathan Strange & Mr Norrell,A Novel,Susanna Clarke,Fiction,,2006.0,3.82,151294.0
9781932664089,Scott Pilgrim's Precious Little Life,,,Comics & Graphic Novels,Scott Pilgrim's fantastic life takes an unforseen turn when rollerblading delivery girl Ramano Flowers makes her appearance.,2004.0,4.16,149508.0
9780064410342,Howl's Moving Castle,,Diana Wynne Jones,Juvenile Fiction,,2001.0,4.3,148957.0
9780671024239,Bag of Bones,,Stephen King,Fiction,,1999.0,3.89,147964.0
9780451190758,Thinner,,Stephen King;Richard Bachman,Allegories,"After an old gypsy woman is killed by his car, lawyer Billy Halleck is stricken with a flesh-wasting malady and must undertake a nightmarish journey to confront the forces of death.",1985.0,3.7,147510.0
9780385339605,The Rainmaker,,John Grisham,Fiction,,2005.0,3.93,146553.0
9780435233075,Death of a Salesman,,Arthur Miller,American drama,"Willy Loman has been a salesman all his life, but at sixty he is forced to take stock of his life and face its futility and failure.",1994.0,3.5,146272.0
9780451155757,The Dead Zone,,Stephen King,Fiction,,1980.0,3.92,145883.0
9780446696111,The Guardian,,Nicholas Sparks,Fiction,,2005.0,4.15,144654.0
9780425200452,Murder on the Orient Express,A Hercule Poirot Mystery,Agatha Christie,Fiction,"On a three-day journey through the snowbound Balkan hills, Hercule Poirot must weed through an array of international suspects to find the passenger who murdered a gangster on the Orient Express.",2004.0,4.16,144452.0
9780451219367,Lover Awakened,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,,2006.0,4.45,141779.0
9781577314806,The Power of Now,A Guide to Spiritual Enlightenment,Eckhart Tolle,"Body, Mind & Spirit",The author shares the secret of his own self-realization and the philosophy for living in the present he has developed.,2004.0,4.13,140443.0
9780060541835,Congo,,Michael Crichton,Fiction,,2003.0,3.58,140223.0
9780142402498,Pippi Longstocking,,Astrid Lindgren,Juvenile Fiction,Relates the antics of a rambunctious girl who lives with a horse and a monkey--but without any parents--at the edge of a Swedish village. Reissue.,2005.0,4.12,140107.0
9780151010264,Animal Farm and 1984,,George Orwell,Fiction,,2003.0,4.28,140015.0
9780670032563,The New Spirit,,Havelock Ellis,,,1970.0,4.24,138227.0
