Title,Director,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
The Complete Grimm's Fairy Tales,Brothers Grimm,Fiction,"The stories of magic and myth gathered by the Brothers Grimm have become part of the way children—and adults—learn about the vagaries of the real world. Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (Little Red Riding Hood), and Briar-Rose (Sleeping Beauty) are only a few of the more than two hundred enchanting characters included in this volume. The tales are presented just as Jacob and Wilhelm Grimm originally set them down: bold, primal, just frightening enough, and endlessly engaging. With black-and-white illustrations throughout Illustrated by Josef Schari / Commentary by Joseph Campbell Part of the Pantheon Fairy Tale and Folklore Library",4.0,4.0,1972,http://books.google.com/books/content?id=ttI9DDdL7psC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Go,John Clellon Holmes,Fiction,"Before the world knew Kerouac, Ginsberg, and Cassady, this “brilliant and important” novel chronicled the author’s early years among the Beats (Los Angeles Free Press). Published five years before On the Road, this candid and perceptive roman à clef chronicles the adventures of Jack Kerouac, Allen Ginsberg, and Neal Cassady before they became literary icons. In dive bars and all-night diners, cabs racing across Manhattan and squalid apartments sticky with “tea” smoke, these would-be artists pursue the ecstatic experiences that shape their work and satisfy their restless desire to live beyond the limits of convention. At the heart of Go is Paul Hobbes, the alter ego of John Clellon Holmes. An aspiring novelist who shares the same creative interests as his friends, Paul frequently participates in their reckless, self-indulgent behavior. Yet his innate solemnness makes him an outsider, as does his commitment to his marriage. As Paul seeks to strike the right balance between experimentation and orthodoxy, freedom and obligation, he casts a discerning eye on his peers. The result is a thrilling and indispensible portrait of the Beat movement before it took America by storm.",4.0,1.0,2015-10-20,http://books.google.com/books/content?id=bPF3CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
My Struggle: Book 1,Karl Ove Knausgaard,Fiction,"A New York Times bestseller, My Struggle: Book 1 introduces American readers to the audacious, addictive, and profoundly surprising international literary sensation that is the provocative and brilliant six-volume autobiographical novel by Karl Ove Knausgaard. It has already been anointed a Proustian masterpiece and is the rare work of dazzling literary originality that is intensely, irresistibly readable. Unafraid of the big issues—death, love, art, fear—and yet committed to the intimate details of life as it is lived, My Struggle is an essential work of contemporary literature.",5.0,1.0,2013-05-02,http://books.google.com/books/content?id=46KJ4ERrzNkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mysteries,Knut Hamsun,Fiction,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",4.0,3.0,2001-01-01,http://books.google.com/books/content?id=MRoMUV2kLZEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
How to Stop Time,Matt Haig,Fiction,"From the New York Times bestselling author of The Midnight Library. “A quirky romcom dusted with philosophical observations….A delightfully witty…poignant novel.” —The Washington Post “She smiled a soft, troubled smile and I felt the whole world slipping away, and I wanted to slip with it, to go wherever she was going… I had existed whole years without her, but that was all it had been. An existence. A book with no words.” Tom Hazard has just moved back to London, his old home, to settle down and become a high school history teacher. And on his first day at school, he meets a captivating French teacher at his school who seems fascinated by him. But Tom has a dangerous secret. He may look like an ordinary 41-year-old, but owing to a rare condition, he's been alive for centuries. Tom has lived history--performing with Shakespeare, exploring the high seas with Captain Cook, and sharing cocktails with Fitzgerald. Now, he just wants an ordinary life. Unfortunately for Tom, the Albatross Society, the secretive group which protects people like Tom, has one rule: Never fall in love. As painful memories of his past and the erratic behavior of the Society's watchful leader threaten to derail his new life and romance, the one thing he can't have just happens to be the one thing that might save him. Tom will have to decide once and for all whether to remain stuck in the past, or finally begin living in the present. How to Stop Time tells a love story across the ages—and for the ages—about a man lost in time, the woman who could save him, and the lifetimes it can take to learn how to live. It is a bighearted, wildly original novel about losing and finding yourself, the inevitability of change, and how with enough time to learn, we just might find happiness. Soon to be a major motion picture starring Benedict Cumberbatch.",4.0,1.0,2018-02-06,http://books.google.com/books/content?id=In8mDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Robinson Crusoe,Daniel Defoe,Fiction,"One man's love of the sea leaves him stranded on a desert island with nothing but a few goats, a bible and a parrot for company. Will he ever escape? Will his new pal Friday learn to efficiently press a goatskin jerkin? Or will solitude send him totally barmy? Pulp! The Classics is a new imprint that gives the nation's favourite classic novels original retro covers in a pulp fiction style - with a dash of wry humour. Redesigned and reset, using the original unabridged text from some of the best writers that have ever lived, Pulp! The Classics promises readers their favourite books with stunning and highly original jackets.",5.0,1.0,2013-05-31,http://books.google.com/books/content?id=r-6MAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Fellowship of the Ring,John Ronald Reuel Tolkien,Fiction,The first book in the Lord of the rings trilogy.,3.0,3.0,2002,http://books.google.com/books/content?id=OGJqzw0Oo2UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Atlas Shrugged,Ayn Rand,Fiction,For use in schools and libraries only. The decisions of a few industrial leaders shake the roots of capitalism and reawaken man's awareness of himself as a heroic being.,5.0,1.0,1996,http://books.google.com/books/content?id=CbqGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Tortilla Flat,John Steinbeck,Fiction,"Danny, a mule skinner during the First World War, returns to Tortilla Flat to enjoy the carefree and amoral life of the paisano",3.5,13.0,1963,http://books.google.com/books/content?id=0ccs1SgUjtsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
My Name Is Asher Lev,Chaim Potok,Fiction,"NATIONAL BESTSELLER • In this modern classic from the National Book Award–nominated author of The Chosen, a young religious artist is compulsively driven to render the world he sees and feels, even when it leads him to blasphemy. “A novel of finely articulated tragic power .... Little short of a work of genius.”—The New York Times Book Review Asher Lev is a Ladover Hasid who keeps kosher, prays three times a day and believes in the Ribbono Shel Olom, the Master of the Universe. He grows up in a cloistered Hasidic community in postwar Brooklyn, a world suffused by ritual and revolving around a charismatic Rebbe. He is torn between two identities, the one consecrated to God, the other devoted only to art and his imagination, and in time, his artistic gift threatens to estrange him from that world and the parents he adores. As it follows his struggle, My Name Is Asher Lev becomes a luminous, visionary portrait of the artist, by turns heartbreaking and exultant.",4.5,4.0,2009-07-01,http://books.google.com/books/content?id=kYcUeOR4bdoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
I. Asimov,Isaac Asimov,Biography & Autobiography,"Clarke, Frederik Pohl, John W. Campbell, Jr., Robert A. Heinlein, L. Sprague de Camp, Clifford Simak, Harlan Ellison, Ben Bova, Lester and Judy-Lynn del Rey, Robert Silverberg, and Martin Greenberg.",3.5,5.0,1994,http://books.google.com/books/content?id=dkRaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
I. Asimov,Isaac Asimov,Biography & Autobiography,"Clarke, Frederik Pohl, John W. Campbell, Jr., Robert A. Heinlein, L. Sprague de Camp, Clifford Simak, Harlan Ellison, Ben Bova, Lester and Judy-Lynn del Rey, Robert Silverberg, and Martin Greenberg.",3.5,5.0,1994,http://books.google.com/books/content?id=dkRaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Jurassic Park,Michael Crichton,Fiction,"A breakthrough in genetic engineering leads to the development of a technique for recovering and cloning dinosaur DNA, a method that brings about the creation of Jurassic Park, a tourist attraction populated by creatures extinct for eons. Reissue.",4.0,9.0,1991,http://books.google.com/books/content?id=4agwj0ILXokC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"I, Tituba, Black Witch of Salem",Maryse Condé,Fiction,"Blending the fictional with the factual, this highly praised novel ranges from the warm shores of seventeenth-century Barbados to the harsh realities of the slave trade, and the cold customs of Puritanical New England. It tells the story of Tituba, the only Black victim of the Salem witch trials and in doing so recalls a life of extraordinary experiences and mystical powers. Foreword by Angela Davis. Winner of France's prestigious Grand Prix Literaire de la Femme.",4.0,1.0,1994,http://books.google.com/books/content?id=6uPBhEIKP7kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Night Probe!,Clive Cussler,Fiction,"Dirk Pitt must descend to the bottom of the Hudson River to recover a copy of the secret North American Treaty signed in 1914, but Great Britain is racing to find and destroy the same document.",4.0,2.0,1982,http://books.google.com/books/content?id=w83dpt2UKfUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Jurassic Park,Michael Crichton,Fiction,"A breakthrough in genetic engineering leads to the development of a technique for recovering and cloning dinosaur DNA, a method that brings about the creation of Jurassic Park, a tourist attraction populated by creatures extinct for eons. Reissue.",4.0,9.0,1991,http://books.google.com/books/content?id=4agwj0ILXokC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mists of Avalon,Marion Zimmer Bradley,Fiction,"Morgaine, gifted with the Sight and fated with her brother-lover's doom, recounts the glorious tragedy of Camelot's brief flowering - not as a tale of knightly deeds, but as a woman's rounded view of society in the crucible of change.",5.0,1.0,1993,http://books.google.com/books/content?id=h3DTeHJWy40C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Green Wheat,Colette,Fiction,"Written in 1923, ""Green Wheat ""is set in a villa in Brittany and is a story of burgeoning sexuality. This edition does more than meet Rogow's mark ""to do justice to Colette's enormous talent,"" it presents a great classic to the world once again. From the Translator's Preface: Of her more than twenty books, ""Green Wheat ""is perhaps Colette's most polished, most perfect. It was in Green Wheat that she achieved an exquisite blend of two of her greatest gifts as a fiction writer--her uncanny ability to fathom the hearts of adolescents, and her skill at describing nature with the phrasing of a poet and the colors and light of a great landscape painter. This combination helps make ""Green Wheat ""one of the enduring works of fiction of the last 100 years. . . . Ultimately, the book is a story about the loss of Eden, both of youth and of nature. . . . It is about the loss of a type of hope, a hope that many of us cling to, that love can somehow escape the imperfections of life. Zack Rogow translates French literature and was a co-winner of the PEN/Book-of-the-Month Club Translation Award for ""Earthlight,"" by Andre Breton, as well as winner of a Bay Area Book Reviewers Award (BABRA) for his translation of George Sand's novel, ""Horace."" He is the editor of a new anthology of U.S. poetry, ""The Face of Poetry,"" to be published by University of California Press in 2004. He teaches in the M.F.A. in Writing Program at the California College of Arts & Crafts and lives in San Francisco. Colette, whose real name was Sidonie-Gabrielle Colette, was born in the village of Saint-Sauveur-en-Puisaye in Burgundy, France in 1873 and died in Paris in 1954. Her many books include ""Gigi ""(1944), ""The Vagabond ""(1912), ""Cheri ""(1929), and ""The Last of Cheri ""(1932). She is considered one of the great novelists of the 20th century. Among her many awards, Colette was made a member of the Belgian Royal Academy in the 1930s and was also the first woman to be admitted to the prestigious Goncourt Academy. In 1953 she became a grand officer of the Legion of Honour. She is a legendary figure who lived a colorful and bohemian life and her writings are rich with the joys and pain",4.0,1.0,2004,http://books.google.com/books/content?id=VJBcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Bean Trees,Barbara Kingsolver,Fiction,"Clear-eyed and spirited, Taylor Greer grew up poor in rural Kentucky with the goals of avoiding pregnancy and getting away. But when she heads west with high hopes and a barely functional car, she meets the human condition head-on. By the time Taylor arrives in Tucson, Arizona, she has acquired a completely unexpected child, a three-year-old American Indian girl named Turtle, and must somehow come to terms with both motherhood and the necessity for putting down roots. Hers is a story about love and friendship, abandonment and belonging, and the discovery of surprising resources in apparently empty places. Available for the first time in mass-market, this edition of Barbara Kingsolver's bestselling novel, The Bean Trees, will be in stores everywhere in September. With two different but equally handsome covers, this book is a fine addition to your Kingsolver library.",4.0,23.0,1998-09-09,http://books.google.com/books/content?id=O-XiVJO1K1gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"I, Tituba, Black Witch of Salem",Maryse Condé,Fiction,"Blending the fictional with the factual, this highly praised novel ranges from the warm shores of seventeenth-century Barbados to the harsh realities of the slave trade, and the cold customs of Puritanical New England. It tells the story of Tituba, the only Black victim of the Salem witch trials and in doing so recalls a life of extraordinary experiences and mystical powers. Foreword by Angela Davis. Winner of France's prestigious Grand Prix Literaire de la Femme.",4.0,1.0,1994,http://books.google.com/books/content?id=6uPBhEIKP7kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Through the Looking Glass,Lewis Carroll,Adventure and adventurers,"In this sequel to Alice in Wonderland, Alice climbs through a mirror in her room and enters a world similar to a chess board where she experiences many curious adventures with its fantastic inhabitants.",4.0,4.0,1897,http://books.google.com/books/content?id=i2MCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Assassin's Blade,Sarah J. Maas,Juvenile Fiction,"Celaena Sardothien is Adarlan's most feared assassin. As part of the Assassins' Guild, her allegiance is to her master, Arobynn Hamel, yet Celaena listens to no one and trusts only her fellow killer-for-hire, Sam. In these action-packed prequel novellas - together in one edition for the first time - Celaena embarks on five daring missions. They take her from remote islands to hostile deserts, where she fights to liberate slaves and seeks to avenge the tyrannous. But she is acting against Arobynn's orders and could suffer an unimaginable punishment for such treachery ...Explore the dark underworld of this kick-ass heroine and find out how the legend begins in the five page-turning prequel novellas to the New York Times bestselling Throne of Glass series.",5.0,1.0,2014,http://books.google.com/books/content?id=xLacAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bridge to Terabithia,Katherine Paterson,Juvenile Fiction,"The life of a ten-year-old boy in rural Virginia expands when he becomes friends with a newcomer who subsequently meets an untimely death trying to reach their hideaway, Terabithia, during a storm.",5.0,4.0,1977,http://books.google.com/books/content?id=Hnb-93B3OGAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Wind in the Willows,Kenneth Grahame,Juvenile Fiction,"The tales of Ratty, Mole, Badger and Toad. When Mole goes boating with the Water Rat instead of spring-cleaning, he discovers a new world. As well as the river and the Wild Wood, there is Toad's craze for fast travel which leads him and his friends on a whirl of trains, barges, gipsy caravans and motor cars and even into battle.",4.5,7.0,1993,http://books.google.com/books/content?id=Mo7D3Je7_DMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Shadow and Bone,Leigh Bardugo,Juvenile Fiction,"The Grishaverse will be coming to Netflix soon with Shadow and Bone, an original series Enter the Grishaverse with Book One of the Shadow and Bone Trilogy by the #1 New York Times-bestselling author of Six of Crows and Crooked Kingdom. Soldier. Summoner. Saint. Orphaned and expendable, Alina Starkov is a soldier who knows she may not survive her first trek across the Shadow Fold--a swath of unnatural darkness crawling with monsters. But when her regiment is attacked, Alina unleashes dormant magic not even she knew she possessed. Now Alina will enter a lavish world of royalty and intrigue as she trains with the Grisha, her country's magical military elite--and falls under the spell of their notorious leader, the Darkling. He believes Alina can summon a force capable of destroying the Shadow Fold and reuniting their war-ravaged country, but only if she can master her untamed gift. As the threat to the kingdom mounts and Alina unlocks the secrets of her past, she will make a dangerous discovery that could threaten all she loves and the very future of a nation. Welcome to Ravka . . . a world of science and superstition where nothing is what it seems. A New York Times Bestseller A Los Angeles Times Bestseller An Indie Next List Book This title has Common Core connections. Praise for the Grishaverse ""A master of fantasy."" --The Huffington Post ""Utterly, extremely bewitching."" --The Guardian ""The best magic universe since Harry Potter."" --Bustle ""This is what fantasy is for."" --The New York Times Book Review "" A] world that feels real enough to have its own passport stamp."" --NPR ""The darker it gets for the good guys, the better."" --Entertainment Weekly ""Sultry, sweeping and picturesque. . . . Impossible to put down."" --USA Today ""There's a level of emotional and historical sophistication within Bardugo's original epic fantasy that sets it apart."" --Vanity Fair ""Unlike anything I've ever read."" --Veronica Roth, bestselling author of Divergent ""Bardugo crafts a first-rate adventure, a poignant romance, and an intriguing mystery "" --Rick Riordan, bestselling author of the Percy Jackson series ""This is a great choice for teenage fans of George R.R. Martin and J.R.R. Tolkien."" ?RT Book Reviews Read all the books in the Grishaverse The Shadow and Bone Trilogy (previously published as The Grisha Trilogy) Shadow and Bone Siege and Storm Ruin and Rising The Six of Crows Duology Six of Crows Crooked Kingdom The Language of Thorns: Midnight Tales and Dangerous Magic",3.0,3.0,2012-06-05,http://books.google.com/books/content?id=kdNvXWMa5xoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Wizard of Oz,Lyman Frank Baum,Fiction,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",1.0,1.0,2009,http://books.google.com/books/content?id=hRd7dJ-9G1IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Game of Thrones,George R. R. Martin,Fiction,Fantasy-roman.,4.5,130.0,2011,http://books.google.com/books/content?id=bIZiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
