Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Mining Intelligence and Knowledge Exploration,"Rajendra Prasath, Anil Kumar Vuppala, T. Kathirvalavakumar",,"This book constitutes the proceedings of the Second International Conference on Mining Intelligence and Knowledge Exploration, MIKE 2014, held in Cork, Ireland, in December 2014. The 40 papers presented were carefully reviewed and selected from 69 submissions. The papers cover topics such as information retrieval, feature selection, classification, clustering, image processing, network security, speech processing, machine learning, recommender systems, natural language processing, language, cognition and computation, and business intelligence.",3.9,3,2013,http://covers.openlibrary.org/b/id/9407972-L.jpg
Intelligence and Security Informatics,Michael Chau,,"This book constitutes the refereed proceedings of the Pacific Asia Workshop on Intelligence and Security Informatics, PAISI 2013, held in Beijing, China, in August 2013 in conjunction with the International Joint Conference on Artificial Intelligence (IJCAI 2013). The 4 revised full papers presented together with 7 short papers were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on information sharing and data/text mining; terrorism informatics; network-based data analytics; and information access and security.",3.8,6,2012,http://covers.openlibrary.org/b/id/8663620-L.jpg
Statistical Language and Speech Processing,"Carlos Martín-Vide, Matthew Purver, Senja Pollak",,"This book consitutes the refereed proceedings of the First International Conference on Statistical Language and Speech Processing, SLSP 2013, held in Tarragona, Spain, in July 2013. The 24 full papers presented together with two invited talks were carefully reviewed and selected from 61 submissions. The papers cover a wide range of topics in the fields of computational language and speech processing and the statistical methods that are currently in use.",3.8,75,2013,http://covers.openlibrary.org/b/id/9335038-L.jpg
Algorithms and Models for the Web Graph,Anthony Bonato,,"This book constitutes the refereed proceedings of the 11th International Workshop on Algorithms and Models for the Web Graph, WAW 2014, held in Beijing, China, in December 2014. The 12 papers presented were carefully reviewed and selected for inclusion in this volume. The aim of the workshop was to further the understanding of graphs that arise from the Web and various user activities on the Web, and stimulate the development of high-performance algorithms and applications that exploit these graphs. The workshop gathered the researchers who are working on graph-theoretic and algorithmic aspects of related complex networks, including social networks, citation networks, biological networks, molecular networks, and other networks arising from the Internet.",4.2,38,2007,http://covers.openlibrary.org/b/id/8616553-L.jpg
Databases In Networked Information Systems,Shinji Kikuchi,,"This book constitutes the refereed proceedings of the 8th International Workshop on Databases in Networked Information Systems, DNIS 2013, held in Aizu-Wakamatsu, Japan in March 2013. The 22 revised full papers presented were carefully reviewed and selected for inclusion in the book. The workshop generally puts the main focus on data semantics and infrastructure for information management and interchange. The papers are organized in topical sections on cloud-based database systems; information and knowledge management; information extraction from data resources; bio-medical information management; and networked information systems: infrastructure.",4.3,18,2010,http://covers.openlibrary.org/b/id/7566713-L.jpg
Modeling Decisions for Artificial Intelligence,Vicenç Torra,,"This book constitutes the refereed proceedings of the 9th International Conference on Modeling Decisions for Artificial Intelligence, MDAI 2012, held in Girona, Catalonia, Spain, in November 2012. The 32 revised full papers were carefully reviewed and selected from 49 submissions and are presented with 4 plenary talks. The papers are organized in topical sections on aggregation operators, integrals, data privacy and security, reasoning, applications, and clustering and similarity.",4.1,7,2012,http://covers.openlibrary.org/b/id/8695780-L.jpg
Neural Information Processing,"Chu Kiong Loo, Yap Keem Siah, Kok Wai Wong, Andrew Teoh Beng Jin, Kaizhu Huang",,"The three volume set LNCS 8834, LNCS 8835, and LNCS 8836 constitutes the proceedings of the 21st International Conference on Neural Information Processing, ICONIP 2014, held in Kuching, Malaysia, in November 2014. The 231 full papers presented were carefully reviewed and selected from 375 submissions. The selected papers cover major topics of theoretical research, empirical study, and applications of neural information processing research. The 3 volumes represent topical sections containing articles on cognitive science, neural networks and learning systems, theory and design, applications, kernel and statistical methods, evolutionary computation and hybrid intelligent systems, signal and image processing, and special sessions intelligent systems for supporting decision, making processes,theories and applications, cognitive robotics, and learning systems for social network and web mining.",3.0,6,2014,http://covers.openlibrary.org/b/id/9946223-L.jpg
Bioinformatics Research and Applications,Zhipeng Cai,,"This book constitutes the refereed proceedings of the 9th International Symposium on Bioinformatics Research and Applications, ISBRA 2013, held in Charlotte, NC, USA, in May 2013. The 25 revised full papers presented together with 4 invited talks were carefully reviewed and selected from 46 submissions. The papers cover a wide range of biomedical databases and data integration, high-performance bio-computing, biomolecular imaging, high-throughput sequencing data analysis, bio-ontologies, molecular evolution, comparative genomics and phylogenomics, molecular modeling and simulation, pattern discovery and classification, computational proteomics, population genetics, data mining and visualization, software tools and applications.",3.8,45,2013,http://covers.openlibrary.org/b/id/8623563-L.jpg
Agents and Data Mining Interaction,Longbing Cao,,"This book constitutes the thoroughly refereed post-workshop proceedings of the 8th International Workshop on Agents and Data Mining Interaction, ADMI 2012, held in Valencia, Spain, in June 2012. The 16 revised full papers were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on agents for data mining, data mining for agents, and agent mining applications.",3.4,27,2010,http://covers.openlibrary.org/b/id/8615724-L.jpg
Data-Driven Process Discovery and Analysis,"Paolo Ceravolo, Stefanie Rinderle-Ma",,"This book constitutes the thoroughly refereed proceedings of the Second International Symposium on Data-Driven Process Discovery and Analysis held in Campione d'Italia, Italy, in June 2012. The six revised full papers were carefully selected from 17 submissions. To improve the quality of the contributions the symposium fostered the discussion during the presentation, giving authors the opportunity to improve their work extending the presented results. The selected papers cover topics spanning from theoretical issues related to process representation, discovery and analysis to practical and operational experiences in process discovery and analysis.",4.2,10,2013,http://covers.openlibrary.org/b/id/9378556-L.jpg
Machine Learning and Knowledge Discovery in Databases,"Hendrik Blockeel, Kristian Kersting, Siegfried Nijssen, Filip Železný",,"This three-volume set LNAI 8188, 8189 and 8190 constitutes the refereed proceedings of the European Conference on Machine Learning and Knowledge Discovery in Databases: ECML PKDD 2013, held in Prague, Czech Republic, in September 2013. The 111 revised research papers presented together with 5 invited talks were carefully reviewed and selected from 447 submissions. The papers are organized in topical sections on reinforcement learning; Markov decision processes; active learning and optimization; learning from sequences; time series and spatio-temporal data; data streams; graphs and networks; social network analysis; natural language processing and information extraction; ranking and recommender systems; matrix and tensor analysis; structured output prediction, multi-label and multi-task learning; transfer learning; bayesian learning; graphical models; nearest-neighbor methods; ensembles; statistical learning; semi-supervised learning; unsupervised learning; subgroup discovery, outlier detection and anomaly detection; privacy and security; evaluation; applications; medical applications; nectar track; demo track.",3.5,48,2013,http://covers.openlibrary.org/b/id/9359802-L.jpg
Modeling Decisions for Artificial Intelligence,"Vincenc Torra, Yasuo Narukawa, Guillermo Navarro-Arribas, David Megías",,"This book constitutes the proceedings of the 10th International Conference on Modeling Decisions for Artificial Intelligence, MDAI 2013, held in Barcelona, Spain, in November 2013. The 24 papers presented in this volume were carefully reviewed and selected from 40 submissions. They deal with the theory and tools for modeling decisions, as well as applications that encompass decision making processes and information fusion techniques.",3.7,63,2005,http://covers.openlibrary.org/b/id/10393667-L.jpg
Database and Expert Systems Applications,"Hendrik Decker, Lenka Lhotská, Sebastian Link, Marcus Spies, Roland R. Wagner",,"This two volume set LNCS 8055 and LNCS 8056 constitutes the refereed proceedings of the 24th International Conference on Database and Expert Systems Applications, DEXA 2013, held in Prague, Czech Republic, August 23-29, 2013. The 43 revised full papers presented together with 33 short papers, and 3 keynote talks, were carefully reviewed and selected from 174 submissions. These papers discuss a range of topics including: search queries; indexing; discovery of semantics; parallel processing; XML and RDF; enterprise models; query evaluation and optimization; semantic Web; sampling; industrial applications; communities; AI and databases; matching and searching; information extraction; queries, streams, and uncertainty, storage and compression; query processing; security; distributed data processing; metadata modeling and maintenance; pricing and recommending; and security and semantics.",3.4,21,2013,http://covers.openlibrary.org/b/id/10099019-L.jpg
"Knowledge Representation, Reasoning and Declarative Problem Solving","Chitta Baral, CHITTA BARAL",,"Knowledge management and knowledge-based intelligence are areas of importance in today's economy and society, and to exploit them fully and efficiently it is necessary both to represent and reason about knowledge via a declarative interface whose input language is based on logic. In this book, Chitta Baral shows exactly how to go about doing that: how to write programs that behave intelligently by giving them the ability to express knowledge and reason about it. He presents a language, AnsProlog, for both knowledge representation and reasoning, and declarative problem solving. Many of the results here have never appeared before in book form, and they have been organised here into a form that will appeal to practising and would-be knowledge engineers wishing to learn more about the subject, either in courses or through self-teaching. A comprehensive bibliography rounds off the book.",3.5,58,2003,http://covers.openlibrary.org/b/id/357295-L.jpg
Smart Health,"Hsinchun Chen, Daniel Zeng, Xiangbin Yan, Chunxiao Xing",,"This book constitutes the refereed proceedings of the International Conference for Smart Health, ICSH 2013, held in Beijing, China, in August 2013. The 15 revised full papers presented were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on Information Sharing, Integrating and Extraction; Mining Clinical and Medical Data; Smart Health Applications.",2.9,15,2013,http://covers.openlibrary.org/b/id/10132156-L.jpg
The logic of knowledge bases,Hector J. Levesque,,"""A knowledge-based system decides how to act by running formal reasoning procedures over a body of explicitly represented knowledge - a knowledge base. The system is not programmed for specific tasks: rather, it is told what it needs to know and is expected to infer the rest."".

""This book is about the logic of such knowledge bases. It describes in detail the relationship between symbolic representations of knowledge and abstract states of knowledge, exploring along the way the foundations of knowledge, knowledge bases, knowledge-based systems, and knowledge representation and reasoning.

Assuming some familiarity with first-order predicate logic, the book offers a new mathematical model of knowledge that is general and expressive yet more workable in practice than previous models.""--BOOK JACKET.",2.8,5,2000,http://covers.openlibrary.org/b/id/150229-L.jpg
MultiMedia Modeling,"Laurent Amsaleg, Gylfi Þór Guðmundsson, Cathal Gurrin, Björn Þór Jónsson, Shin’ichi Satoh",,"The two-volume set LNCS 8325 and 8326 constitutes the thoroughly refereed proceedings of the 20th Anniversary International Conference on Multimedia Modeling, MMM 2014, held in Dublin, Ireland, in January 2014. The 46 revised regular papers, 11 short papers, and 9 demonstration papers were carefully reviewed and selected from 176 submissions. 28 special session papers and 6 papers from Video Browser Showdown workshop are also included in the proceedings. The papers included in these two volumes cover a diverse range of topics including: applications of multimedia modelling, interactive retrieval, image and video collections, 3D and augmented reality, temporal analysis of multimedia content, compression and streaming. Special session papers cover the following topics: Mediadrom: artful post-TV scenarios, MM analysis for surveillance video and security applications, 3D multimedia computing and modeling, social geo-media analytics and retrieval, multimedia hyperlinking and retrieval.",3.6,25,2013,http://covers.openlibrary.org/b/id/10128827-L.jpg
Multi-disciplinary Trends in Artificial Intelligence,Chattrakul Sombattheera,,"This volume constitutes the refereed proceedings of the 6th Multi-disciplinary International Workshop On Artificial Intelligence, MIWAI 2012, held in Ho Chi Minh City, Vietnam, in December 2012. <br>The 29 revised full papers presented were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections in AI-GIS for climate change, computer vision, decision theory, e-commerce and AI, multiagent planning and learning, game theory, industrial applications of AI, multiagent systems and evolving intelligence, robotics and Web services.",4.2,13,2011,http://covers.openlibrary.org/b/id/8697365-L.jpg
Information Technology in Bio- and Medical Informatics,"Miroslav Bursa, Sami Khuri, M. Elena Renda",,"This book constitutes the refereed proceedings of the 4th International Conference on Information Technology in Bio- and Medical Informatics, ITBAM 2013, held in Prague, Czech Republic, in August 2013, held in conjunction with DEXA 2013. The 7 revised long papers presented together with 4 short papers were carefully reviewed and selected from numerous submissions. The papers address the following topics: critical health and intelligent systems in medical research, and obstetrics, neonatology and decision systems in cardiology.",3.1,14,2013,http://covers.openlibrary.org/b/id/9359028-L.jpg
"Rough sets, fuzzy sets, data mining, and granular computing","Guoyin Wang, Yiyu Yao, Qing Liu",,"This book constitutes the thoroughly refereed conference proceedings of the 14th International Conference on Rough Sets, Fuzzy Sets, Data Mining and Granular Computing, RSFDGrC 2013, held in Halifax, Canada in October 2013 as one of the co-located conference of the 2013 Joint Rough Set Symposium, JRS 2013. The 69 papers (including 44 regular and 25 short papers) included in the JRS proceedings (LNCS 8170 and LNCS 8171) were carefully reviewed and selected from 106 submissions. The papers in this volume cover topics such as inconsistency, incompleteness, non-determinism; fuzzy and rough hybridization; granular computing and covering-based rough sets; soft clustering; image and medical data analysis.",4.7,44,2003,http://covers.openlibrary.org/b/id/2217540-L.jpg
New Frontiers In Artificial Intelligence,Daisuke Bekki,,"This book constitutes the thoroughly refereed post-conference proceedings of the JSAI-isAI 2013 Workshops LENLS, JURISIN,  MiMI, AAA, and DDS which tool place on October 2013,  in Japan. The 28 contributions in this volume were carefully reviewed and selected from 48 submissions. LENLS (Logic and Engineering of Natural Language Semantics) is an annual international workshop on formal semantics and pragmatics. LENLS10 was the tenth event in the series, and it focused on the formal and theoretical aspects of natural language. JURISIN (Juris-Informatics) 2013 was the seventh event in the series. The purpose of this workshop was to discuss fundamental and practical issues for jurisinformatics, bringing together experts from a variety of relevant backgrounds, including law, social science, information and intelligent technology, logic,and philosophy (including the area of AI and law). MiMI (Multimodality in Multiparty Interaction) 2013 covers topics as follows interaction studies, communication studies, conversation analysis, and workplace studies, as well as their applications in other research fields. AAA (Argument for Agreement and Assurance) 2013 focused on the theoretical foundations of argumentation in AI, and the application of argumentation to various fields such as agreement formation and assurance. DDS (Data Discretization and Segmentation for Knowledge Discovery) 2013 discussed segmentation methods for various types of data, such as graphs, trees, strings, and continuous data, and their applications in the areas of Machine Learning and Knowledge Discovery.",3.3,64,2011,http://covers.openlibrary.org/b/id/7617377-L.jpg
Symbiotic Interaction,"Giulio Jacucci, Luciano Gamberini, Jonathan Freeman, Anna Spagnolli",,"This book constitutes the proceedings of the third International Workshop on Symbiotic Interaction, Symbiotic 2014, held in Helsinki, Finland, in October 2014. The 8 full papers and 5 short papers presented in this volume were carefully reviewed and selected from 16 submissions. They are organized in topical sections named: definitions of symbiotic interaction; reviews of implicit interaction; example applications; experimenting with users; and demos and posters.",3.8,11,2014,http://covers.openlibrary.org/b/id/9337354-L.jpg
Dynamics in Logistics,Hans-Jörg Kreowski,,"The volume comprises the proceedings of the third International Conference on Dynamics in Logistics LDIC 2012. The scope of the conference targeted the identification, analysis, and description of the dynamics of logistic processes and networks. The spectrum ranged from the modeling and planning of processes and innovative methods like autonomous control and knowledge management to the new technologies provided by radio frequency identification, mobile communication, and networking. The growing dynamics in the area of logistics poses completely new challenges: Logistic processes and networks must rapidly and flexibly adapt to continuously changing conditions. LDIC 2012 provided a venue for researchers from academia and industry interested in the technical advances in dynamics in logistics. The conference addressed research in logistics from a wide range of fields, e.g. engineering, computer science and operations research. The volume consists of two invited papers and of 49 contributed papers divided into various subjects including transport logistics, routing in dynamic logistic networks, modeling, simulation, optimization and collaboration in logistics, identification technologies, mathematical modeling in transport and production logistics, information, communication, risk and failure in logistic systems, autonomous control in logistic processes, global supply chains and industrial applications, and the Internet of Things in the context of logistics.",3.4,55,2010,http://covers.openlibrary.org/b/id/8641245-L.jpg
Biomimetic and Biohybrid Systems,Nathan F. Lepora,,"This book constitutes the refereed proceedings of the second International Conference on Biomimetic and Biohybrid Systems, Living Machines 2013, held in London, UK, in July/August 2013. The 65 revised full papers presented were carefully reviewed and selected from various submissions. The papers are targeted at the intersection of research on novel live-like technologies inspired by scientific investigation of biological systems, biomimetics, and research that seeks to interface biological and artificial systems to create biohybrid systems",3.9,2,2012,http://covers.openlibrary.org/b/id/8623877-L.jpg
The Psychology of Expertise,Robert R. Hoffman,,"Experts, who were the sole active dispensers of certain kinds of knowledge in the days before AI, have now often assumed a rather passive role. They relay their knowledge to various novices, knowledge engineers, experimental psychologists or cognitivists - or other experts! - involved in the development and understanding of expert systems. This book achieves a perfect marriage between experimentalists and theoreticians who deal with expertise. It tries to establish the benefits to society of an advanced technology for representing and disseminating the knowledge and skills of the best corporate managers, the most seasoned pilots, and the most renowned medical diagnosticians. This book interests psychologists as well as all those out in the trenches developing expert systems, and everyone pondering the nature of expertise and the question of how it can be studied scientifically. Its scope, the pivotal concepts which it elucidates and brilliantly summarizes and appraises in the final chapter, as well as the references it includes, make this book a landmark in the field.",4.0,48,1992,http://covers.openlibrary.org/b/id/8711721-L.jpg
New Frontiers in Mining Complex Patterns,Annalisa Appice,,"This book constitutes the thoroughly refereed conference proceedings of the First International Workshop on New Frontiers in Mining Complex Patterns, NFMCP 2012, held in conjunction with ECML/PKDD 2012, in Bristol, UK, in September 2012. The 15 revised full papers were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on mining rich (relational) datasets, mining complex patterns from miscellaneous data, mining complex patterns from trajectory and sequence data, and mining complex patterns from graphs and networks.",3.6,39,2013,http://covers.openlibrary.org/b/id/8699461-L.jpg
Data Warehousing and Knowledge Discovery,"Ladjel Bellatreche, Mukesh K. Mohania",,"This book constitutes the refereed proceedings of the 15th International Conference on Data Warehousing and Knowledge Discovery, DaWaK 2013 held in Prague, Czech Republic, in August 2013. The 24 revised full papers and 8 short papers presented were carefully reviewed and selected from 89 submissions. The papers are organized in topical sections on modeling and ETL, query optimization and parallelism, spatial data warehouses and applications, text mining and OLAP, recommendation and prediction, data mining optimization and machine learning techniques, mining and processing data streams, clustering and data mining applications, social network and graph mining, and event sequence and Web mining.",3.9,11,2009,
MultiMedia Modeling,"Xiangjian He, Suhuai Luo, Dacheng Tao, Changsheng Xu, Jie Yang, Muhammad Abul Hasan",,"The two-volume set LNCS 8935 and 8936 constitutes the thoroughly refereed proceedings of the 21st International Conference on Multimedia Modeling, MMM 2015, held in Sydney, Australia, in January 2015. The 49 revised regular papers, 24 poster presentations,  were carefully reviewed and selected from 189 submissions. For the three special session, a total of 18 papers were accepted for MMM 2015. The three special sessions are Personal (Big) Data Modeling for Information Access and Retrieval, Social Geo-Media Analytics and Retrieval, and Image or video processing, semantic analysis and understanding. In addition, 9 demonstrations and 9 video showcase papers were accepted for MMM 2015. The accepted contributions  included in these two volumes  represent the state-of-the-art in multimedia modeling research and cover a diverse range of topics including: Image and Video Processing, Multimedia encoding and streaming, applications of multimedia modelling and 3D and augmented reality.",3.5,33,2014,http://covers.openlibrary.org/b/id/9378225-L.jpg
Tools and Algorithms for the Construction and Analysis of Systems,Armin Biere,,"This open access two-volume set constitutes the proceedings of the 26th International Conference on Tools and Algorithms for the Construction and Analysis of Systems, TACAS 2020, which took place in Dublin, Ireland, in April 2020, and was held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2020. The total of 60 regular papers presented in these volumes was carefully reviewed and selected from 155 submissions. The papers are organized in topical sections as follows: Part I: Program verification; SAT and SMT; Timed and Dynamical Systems; Verifying Concurrent Systems; Probabilistic Systems; Model Checking and Reachability; and Timed and Probabilistic Systems. Part II: Bisimulation; Verification and Efficiency; Logic and Proof; Tools and Case Studies; Games and Automata; and SV-COMP 2020.",3.1,35,2020,http://covers.openlibrary.org/b/id/11485713-L.jpg
Computer-aided reasoning,"Matt Kaufmann, Panagiotis Manolios, J. Strother Moore",,"""Computer-Aided Reasoning: An Approach is a textbook introduction to computer-aided reasoning. It can be used in graduate and upper-division undergraduate courses on Software Engineering or Formal Methods. It is also suitable in conjunction with other books in courses on hardware design, discrete mathematics, or theory, especially courses stressing formalism, rigor, or mechanized support.

It is also appropriate for courses on artificial intelligence or automated reasoning and as a reference for business and industry.""--BOOK JACKET.",3.9,11,2000,http://covers.openlibrary.org/b/id/1500306-L.jpg
Pattern recognition and machine intelligence,Sankar K. Pal,,"This book constitutes the refereed proceedings of the 5th International Conference on Pattern Recognition and Machine Intelligence, PReMI 2013, held in Kolkata, India in December 2013. The 101 revised papers presented together with 9 invited talks were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on pattern recognition; machine learning; image processing; speech and video processing; medical imaging; document image processing; soft computing; bioinformatics and computational biology; and social media mining.",3.7,24,2005,http://covers.openlibrary.org/b/id/2221170-L.jpg
